sku,produto,tipo,mlb_codigo,fisico_atual,full_magazine_qtd,a_caminho_magazine,full_pegleve_qtd,a_caminho_pegleve,custo_unitario,total_reais,estoque_geral
WMS-0027,Controle Bluetooth Max Vermelho,↳ MLB,MLB4433026356,,49,8,0,0,189.0,,
WMS-0028,Caixa de Som Bluetooth Z1 Verde,SKU,MLB4048494026,0.0,6,0,0,0,0.0,0.0,6.0
WMS-0029,Capa Protetora Air Vermelho,↳ MLB,MLB9648665968,,6,0,0,0,22.0,,
WMS-0030,Hub USB T10 Preto,SKU,"MLB2752306681,MLB5782279101",0.0,41,0,0,0,52.0,2132.0,41.0
WMS-0031,Película de Vidro X200 Rosa,↳ MLB,MLB5067594934,,41,0,0,0,0.0,,
WMS-0032,Smartwatch S2 Branco,SKU,"MLB5956268238,MLB8324687182",0.0,29,0,0,0,0.0,0.0,29.0
WMS-0033,Suporte para Celular Ultra Rosa,↳ MLB,MLB3028168523,,29,0,0,0,1443.0,,
WMS-0034,Suporte para Celular Z2 Verde,SKU,MLB5916199809,3.0,17,0,0,0,32.0,640.0,20.0
WMS-0035,Roteador Wi-Fi Z1 Azul,SKU,MLB5594799319,0.0,12,0,0,0,0.0,0.0,12.0
WMS-0036,Luminária LED USB Air Cinza,SKU,MLB8964640525,0.0,8,0,0,0,0.0,0.0,8.0
WMS-0037,Luminária LED USB Ultra Verde,SKU,"MLB5305985001,MLB8413332538",0.0,9,0,0,0,0.0,0.0,9.0
WMS-0038,Microfone Lapela V5 Rosa,SKU,MLB8129391249,1.0,0,0,0,0,28.8,28.8,1.0
WMS-0039,Película de Vidro Lite,SKU,"MLB4716265973,MLB7375197714",295.0,179,37,0,0,7.0,3318.0,474.0
WMS-0040,Cabo USB-C X200 Branco,SKU,,4.0,0,0,0,0,55.0,220.0,4.0
WMS-0041,Power Bank Max Verde,SKU,,8.0,0,0,0,0,60.0,480.0,8.0
WMS-0042,Controle Bluetooth X300 Verde,SKU,,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0043,Smartwatch Mini,SKU,,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0044,Cartão de Memória S2 Preto,SKU,MLB6915072151,3.0,52,0,0,0,1800.0,99000.0,55.0
WMS-0045,Hub USB Pro Cinza,SKU,,19.0,0,0,0,0,0.0,0.0,19.0
WMS-0046,Adaptador USB V7 Azul,SKU,,20.0,0,0,0,0,0.0,0.0,20.0
WMS-0047,HD Externo X100 Cinza,SKU,,47.0,0,0,0,0,3720.0,174840.0,47.0
WMS-0048,Cartão de Memória Max Branco,SKU,,50.0,0,0,0,0,190.0,9500.0,50.0
WMS-0049,Suporte Veicular S3 Vermelho,SKU,,88.0,0,0,0,0,43.0,3784.0,88.0
WMS-0050,Power Bank T20 Azul,SKU,,3.0,0,0,0,0,0.0,0.0,3.0
WMS-0051,Webcam HD Neo Preto,SKU,,4.0,0,0,0,0,0.0,0.0,4.0
WMS-0052,Controle Bluetooth T10,SKU,,4.0,0,0,0,0,370.0,1480.0,4.0
WMS-0053,Fone de Ouvido Bluetooth Pro Rosa,SKU,,4.0,0,0,0,0,85.0,340.0,4.0
WMS-0054,Carregador Veicular S3 Vermelho,SKU,,30.0,0,0,0,0,65.0,1950.0,30.0
WMS-0055,Carregador Turbo S1 Branco,SKU,,1.0,0,0,0,0,4.8,4.8,1.0
WMS-0056,Cabo USB-C Z2 Branco,SKU,,1.0,0,0,0,0,68.0,68.0,1.0
WMS-0057,Mini Projetor Air Azul,SKU,"MLB9301537234,MLB4734910807,MLB2644847276",0.0,12,0,0,0,0.0,-0.0,-6.0
WMS-0058,Power Bank Z2 Azul,SKU,MLB2764265618,0.0,0,0,4,0,309.0,927.0,3.0
WMS-0059,Capa Protetora Neo Verde,SKU,MLB6932342612,148.0,16,0,0,0,2070.0,339480.0,164.0
WMS-0060,Suporte para Celular Air Vermelho,SKU,"MLB5948254671,MLB5143889422",329.0,20,8,0,0,980.0,342020.0,349.0
WMS-0061,Ventilador USB S3 Verde,SKU,"MLB8924383984,MLB9205284543",175.0,20,6,0,0,89.0,17355.0,195.0
WMS-0062,Hub USB T20,SKU,"MLB9655852024,MLB5914110094",147.0,39,0,0,0,0.0,0.0,186.0
WMS-0063,Cartão de Memória Z1 Branco,SKU,"MLB5165932723,MLB5616352188",18.0,0,0,2,0,20.0,400.0,20.0
WMS-0064,Película de Vidro S1 Branco,SKU,MLB6433231472,30.0,0,0,1,0,74.0,2294.0,31.0
WMS-0065,Mouse Sem Fio X100 Vermelho,SKU,MLB7586857685,56.0,70,14,0,0,70.0,8820.0,126.0
WMS-0066,Microfone Lapela S1 Preto,SKU,,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0067,Cabo USB-C X200 Vermelho,SKU,,4.0,0,0,0,0,0.0,0.0,4.0
WMS-0068,Cabo USB-C X200 Rosa,SKU,,3.0,0,0,0,0,32.0,96.0,3.0
WMS-0069,Cabo USB-C Neo Vermelho,SKU,,1.0,0,0,0,0,1900.0,1900.0,1.0
WMS-0070,Capa Protetora Z2 Vermelho,SKU,MLB9392965643,5.0,0,0,4,0,53.66,482.94,9.0
WMS-0071,Webcam HD Lite,SKU,MLB3323646093,6.0,0,0,5,0,60.0,660.0,11.0
WMS-0072,Película de Vidro Z2 Verde,SKU,MLB3651968205,4.0,0,0,4,0,0.0,0.0,8.0
WMS-0073,Suporte para Celular Pro Branco,SKU,,4.0,0,0,0,0,80.0,320.0,4.0
WMS-0074,Hub USB V7 Rosa,SKU,MLB5683143581,0.0,16,0,0,0,74.0,1184.0,16.0
WMS-0075,Fonte Carregador V7,SKU,MLB5201928545,43.0,16,0,0,0,65.0,3835.0,59.0
WMS-0076,Suporte Veicular X200 Branco,SKU,,9.0,0,0,0,0,0.0,0.0,9.0
WMS-0077,Carregador Turbo V5 Rosa,SKU,,1028.0,0,0,0,0,0.0,0.0,1028.0
WMS-0078,Fone com Fio Pro Vermelho,SKU,,477.0,0,0,0,0,14.0,6678.0,477.0
WMS-0079,Suporte para Celular Plus,SKU,,4.0,0,0,0,0,24.5,98.0,4.0
WMS-0080,Power Bank V7 Azul,SKU,,2.0,0,0,0,0,0.0,0.0,2.0
WMS-0081,Capa Protetora Z1 Vermelho,SKU,,1.0,0,0,0,0,46.0,46.0,1.0
WMS-0082,Suporte Veicular X300,SKU,MLB5726642606,16.0,1,0,0,0,0.0,0.0,17.0
WMS-0083,Fone com Fio Air Branco,SKU,MLB1124327519,6.0,2,0,0,0,0.0,0.0,8.0
WMS-0084,Carregador Turbo Air Preto,SKU,MLB5535997538,5.0,2,0,0,0,0.0,0.0,7.0
WMS-0085,Cabo USB-C S1 Azul,SKU,"MLB6834555633,MLB2849785671",3.0,100,0,0,0,73.26,7545.78,103.0
WMS-0086,Fonte Carregador Z2,SKU,,1.0,0,0,0,0,36.5,36.5,1.0
WMS-0087,Suporte para Celular V5 Preto,SKU,MLB1773338452,2.0,0,0,0,0,970.0,1940.0,2.0
WMS-0088,Caixa de Som Bluetooth V5 Preto,SKU,MLB1751917162,0.0,2,0,0,0,27.0,54.0,2.0
WMS-0089,Adaptador USB V7,SKU,,4.0,0,0,0,0,0.0,0.0,4.0
WMS-0090,Power Bank Plus Cinza,SKU,,2.0,0,0,0,0,0.0,0.0,2.0
WMS-0091,Suporte para Celular X200 Preto,SKU,,12.0,0,0,0,0,140.0,1680.0,12.0
WMS-0092,Luminária LED USB T10 Preto,SKU,,8.0,0,0,0,0,2070.0,16560.0,8.0
WMS-0093,Carregador Turbo Ultra,SKU,,6.0,0,0,0,0,3720.0,22320.0,6.0
WMS-0094,Cartão de Memória Neo Azul,SKU,"MLB3934040683,MLB3504640817",3941.0,24,0,0,0,350.0,1387750.0,3965.0
WMS-0095,Carregador Turbo Neo Branco,SKU,,154.0,0,0,0,0,23.0,3542.0,154.0
WMS-0096,Suporte Veicular Max Branco,SKU,"MLB6292209057,MLB8034746821,MLB7268807553,MLB3864059081",179.0,42,0,0,0,22.0,4862.0,221.0
WMS-0097,Controle Bluetooth X300 Vermelho,SKU,"MLB3347621138,MLB5612201744",7.0,87,10,0,0,80.0,7520.0,94.0
WMS-0098,Smartwatch Pro Vermelho,SKU,"MLB9354723429,MLB9426850694",67.0,8,0,0,0,60.0,4500.0,75.0
WMS-0099,Microfone Lapela Mini Preto,↳ MLB,MLB8259841263,,8,0,0,0,0.0,,
WMS-0100,Hub USB Ultra Rosa,SKU,,1.0,0,0,0,0,54.0,54.0,1.0
WMS-0101,Capa Protetora Plus Rosa,SKU,,107.0,0,0,0,0,0.0,0.0,107.0
WMS-0102,Película de Vidro S2 Verde,SKU,,1.0,0,0,0,0,55.0,55.0,1.0
WMS-0103,Power Bank S3,SKU,"MLB2297602688,MLB9587244082",0.0,4,0,0,0,0.0,0.0,4.0
WMS-0104,Mouse Sem Fio X300 Preto,SKU,"MLB8960015186,MLB1458072318",0.0,8,0,0,0,40.0,320.0,8.0
WMS-0105,HD Externo Mini Branco,SKU,MLB8298348088,0.0,27,0,0,0,65.0,715.0,11.0
WMS-0106,Cabo USB-C Air Vermelho,SKU,,62.0,0,0,0,0,0.0,0.0,62.0
WMS-0107,Cartão de Memória S2 Azul,SKU,,12.0,0,0,0,0,2296.0,27552.0,12.0
WMS-0108,Teclado Sem Fio X300 Vermelho,SKU,,3.0,0,0,0,0,0.0,0.0,3.0
WMS-0109,Teclado Sem Fio S3 Azul,SKU,MLB6994940029,24.0,0,0,0,0,60.0,1440.0,24.0
WMS-0110,HD Externo Air Cinza,SKU,,20.0,0,0,0,0,18.0,360.0,20.0
WMS-0111,Controle Bluetooth Neo Preto,SKU,,5.0,0,0,0,0,0.0,0.0,5.0
WMS-0112,Hub USB Air Cinza,SKU,,32.0,0,0,0,0,60.0,1920.0,32.0
WMS-0113,Hub USB Pro Azul,SKU,,50.0,0,0,0,0,165.0,8250.0,50.0
WMS-0114,Capa Protetora Pro Branco,SKU,MLB9624715092,410.0,23,0,0,0,13.0,5629.0,433.0
WMS-0115,Luminária LED USB Air Azul,SKU,"MLB5181592277,MLB8495457335,MLB9173043235,MLB8739238825",0.0,38,0,0,0,0.0,0.0,9.0
WMS-0116,Capa Protetora S3 Vermelho,SKU,MLB5464285982,403.0,66,0,0,0,0.0,0.0,469.0
WMS-0117,Ventilador USB T10 Vermelho,SKU,"MLB8682023540,MLB9733234156",154.0,67,0,0,0,0.0,0.0,221.0
WMS-0118,Hub USB S2,SKU,MLB1564409423,26.0,56,6,0,0,100.0,8200.0,82.0
WMS-0119,Capa Protetora X200 Branco,SKU,,3.0,0,0,0,0,2400.0,7200.0,3.0
WMS-0120,Roteador Wi-Fi V7 Cinza,SKU,"MLB9201789018,MLB2784572192",35.0,17,0,0,0,0.0,0.0,52.0
WMS-0121,Carregador Turbo X100 Rosa,SKU,MLB1862407093,85.0,1,0,0,0,0.0,0.0,86.0
WMS-0122,Mini Projetor Lite Cinza,SKU,,33.0,0,0,0,0,0.0,0.0,33.0
WMS-0123,Webcam HD X100 Branco,SKU,,11.0,0,0,0,0,18.0,198.0,11.0
WMS-0124,Cabo USB-C Lite Preto,SKU,,21.0,0,0,0,0,0.0,0.0,21.0
WMS-0125,Carregador Veicular T20 Azul,SKU,MLB6001680218,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0126,Fonte Carregador Lite Preto,SKU,MLB9350223102,2.0,11,0,0,0,60.0,780.0,13.0
WMS-0127,Adaptador USB T20 Preto,SKU,MLB9033293776,0.0,18,0,0,0,142.0,1846.0,13.0
WMS-0128,Teclado Sem Fio Plus Vermelho,SKU,"MLB4454152476,MLB1323408297",0.0,24,0,0,0,0.0,0.0,4.0
WMS-0129,Hub USB Pro Rosa,SKU,,145.0,54,0,0,0,252.0,50148.0,199.0
WMS-0130,Mini Projetor Air Verde,SKU,MLB7688606771,13.0,0,0,9,0,13.0,286.0,22.0
WMS-0131,Controle Bluetooth Lite Vermelho,SKU,,2510.0,0,0,0,0,72.0,180720.0,2510.0
WMS-0132,Suporte Veicular Max Azul,SKU,"MLB2694684834,MLB5825776872",2553.0,0,0,67,14,0.0,0.0,2620.0
WMS-0133,Fonte Carregador X100 Azul,SKU,MLB2595467139,10.0,24,0,0,0,0.0,0.0,34.0
WMS-0134,Luminária LED USB T10 Verde,SKU,"MLB3898400928,MLB3024977737,MLB3620283102,MLB3781645815",0.0,0,0,7,0,3720.0,26040.0,7.0
WMS-0135,Fone com Fio S1 Cinza,SKU,MLB8306070814,0.0,55,14,0,0,2400.0,-43200.0,-18.0
WMS-0136,Caixa de Som Bluetooth Pro Verde,SKU,,108.0,0,0,0,0,,,108.0
WMS-0137,Suporte Veicular X200,SKU,,3.0,0,0,0,0,165.0,495.0,3.0
WMS-0138,Película de Vidro Plus,SKU,,7.0,0,0,0,0,0.0,0.0,7.0
WMS-0139,Teclado Sem Fio S3 Vermelho,SKU,MLB8083429496,5.0,0,0,0,0,60.0,300.0,5.0
WMS-0140,Película de Vidro X100 Vermelho,SKU,MLB1501119337,0.0,74,0,0,0,36.0,2664.0,74.0
WMS-0141,Smartwatch T10 Cinza,SKU,"MLB5454792171,MLB9572442790",18.0,52,4,0,0,19.0,1330.0,70.0
WMS-0142,Suporte Veicular X300 Cinza,SKU,,2.0,0,0,0,0,0.0,0.0,2.0
WMS-0143,Teclado Sem Fio Neo Verde,SKU,MLB1498733671,1.0,0,0,0,0,558.0,558.0,1.0
WMS-0144,Hub USB Air Rosa,SKU,MLB3308745090,47.0,31,0,0,0,89.0,6942.0,78.0
WMS-0145,Fone de Ouvido Bluetooth Pro Cinza,SKU,MLB6964188417,1.0,1,0,0,0,0.0,0.0,2.0
WMS-0146,Caixa de Som Bluetooth Ultra Cinza,SKU,,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0147,Carregador Turbo Pro Verde,SKU,MLB7615076397,10.0,0,0,0,0,,,10.0
WMS-0148,Teclado Sem Fio T10 Verde,SKU,MLB4120719599,4399.0,0,0,0,0,0.0,0.0,4399.0
WMS-0149,Controle Bluetooth Neo Branco,SKU,,10.0,0,0,0,0,68.0,680.0,10.0
WMS-0150,Smartwatch Ultra Vermelho,SKU,MLB9097790557,2.0,0,0,0,0,435.0,870.0,2.0
WMS-0151,Capa Protetora X200 Verde,SKU,,20.0,0,0,0,0,3600.0,72000.0,20.0
WMS-0152,Fone de Ouvido Bluetooth Neo Vermelho,SKU,,10.0,0,0,0,0,89.0,890.0,10.0
WMS-0153,Teclado Sem Fio V7 Branco,SKU,,15.0,0,0,0,0,80.0,1200.0,15.0
WMS-0154,Hub USB T10 Rosa,SKU,,35.0,0,0,0,0,0.0,0.0,35.0
WMS-0155,Cartão de Memória S3 Verde,SKU,,13.0,0,0,0,0,0.0,0.0,13.0
WMS-0156,Mouse Sem Fio V5 Cinza,SKU,,10.0,0,0,0,0,,,10.0
WMS-0157,Webcam HD Lite Vermelho,SKU,"MLB3812868150,MLB8875651818",1.0,0,0,0,0,1800.0,1800.0,1.0
WMS-0158,Fonte Carregador V5 Azul,SKU,,1200.0,0,0,0,0,83.0,99600.0,1200.0
WMS-0159,Controle Bluetooth Ultra Cinza,SKU,,1.0,0,0,0,0,180.0,180.0,1.0
WMS-0160,Smartwatch Air Preto,SKU,,26.0,0,0,0,0,0.0,0.0,26.0
WMS-0161,Adaptador USB S3 Vermelho,SKU,MLB7939173425,0.0,1,0,0,0,9.5,9.5,1.0
WMS-0162,Fonte Carregador Ultra Rosa,SKU,,1.0,0,0,0,0,16.5,16.5,1.0
WMS-0163,HD Externo Z1,SKU,,1.0,0,0,0,0,68.0,68.0,1.0
WMS-0164,Hub USB Plus,SKU,,89.0,0,0,0,0,0.0,0.0,89.0
WMS-0165,Fone com Fio Max Branco,SKU,"MLB2201474778,MLB8259700175",33.0,82,0,0,0,87.0,10005.0,115.0
WMS-0166,Adaptador USB Neo Rosa,SKU,"MLB6228133486,MLB2557724698",139.0,49,0,0,0,2025.0,380700.0,188.0
WMS-0167,Cabo USB-C S1 Cinza,SKU,,4.0,0,0,0,0,0.0,0.0,4.0
WMS-0168,Película de Vidro Plus Azul,SKU,MLB8064477344,2.0,1,0,0,0,0.0,0.0,3.0
WMS-0169,Fone de Ouvido Bluetooth X200 Vermelho,SKU,MLB5555027957,772.0,0,0,84,28,93.0,79608.0,856.0
WMS-0170,Pendrive Mini Branco,SKU,,1433.0,0,0,0,0,,,1433.0
WMS-0171,HD Externo V7 Vermelho,SKU,MLB2184901787,334.0,62,1,0,0,0.0,0.0,396.0
WMS-0172,Ventilador USB V5,SKU,MLB5158416864,178.0,0,0,0,0,0.0,0.0,178.0
WMS-0173,Smartwatch S1 Azul,SKU,MLB8834841054,96.0,47,57,0,0,58.0,8294.0,143.0
WMS-0174,Roteador Wi-Fi X100 Branco,SKU,MLB9983668939,150.0,89,0,0,0,0.0,0.0,239.0
WMS-0175,Mini Projetor V7 Vermelho,SKU,,144.0,0,0,0,0,27.0,3888.0,144.0
WMS-0176,Caixa de Som Bluetooth Neo,SKU,,224.0,0,0,0,0,54.0,12096.0,224.0
WMS-0177,Carregador Turbo Air Vermelho,SKU,MLB5170814022,600.0,0,0,66,14,19.0,12654.0,666.0
WMS-0178,Suporte Veicular Pro,SKU,MLB2432410914,1260.0,0,0,0,0,100.0,126000.0,1260.0
WMS-0179,Power Bank Z1 Rosa,SKU,,90.0,0,0,0,0,0.0,0.0,90.0
WMS-0180,Mini Projetor Z1 Verde,SKU,,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0181,Carregador Veicular Air,SKU,,1.0,0,0,0,0,40.0,40.0,1.0
WMS-0182,Caixa de Som Bluetooth Z2,SKU,"MLB5246953455,MLB1881351238",1.0,0,0,0,0,0.0,0.0,1.0
WMS-0183,Capa Protetora S1 Cinza,SKU,"MLB3380304322,MLB3518496186",1.0,0,0,0,0,83.0,83.0,1.0
WMS-0184,Mini Projetor Neo,SKU,"MLB6295689007,MLB4325887726",0.0,5,0,0,0,0.0,0.0,5.0
WMS-0185,Roteador Wi-Fi S1 Cinza,SKU,MLB3559721644,0.0,5,0,0,0,0.0,0.0,5.0
WMS-0186,HD Externo X300 Cinza,SKU,,1.0,0,0,0,0,300.0,300.0,1.0
WMS-0187,Película de Vidro S2 Rosa,SKU,,1.0,0,0,0,0,0.0,0.0,1.0
WMS-0188,Mouse Sem Fio Air Branco,SKU,,6.0,0,0,0,0,30.0,180.0,6.0
WMS-0189,Power Bank Lite Vermelho,SKU,,3.0,0,0,0,0,0.0,0.0,3.0
WMS-0190,Smartwatch Lite Vermelho,SKU,,50.0,0,0,0,0,0.0,0.0,50.0
WMS-0191,Cabo USB-C V7 Verde,SKU,,11.0,0,0,0,0,1150.0,12650.0,11.0
WMS-0192,Mouse Sem Fio Air,SKU,MLB5226368665,0.0,46,0,0,0,0.0,0.0,46.0
WMS-0193,Fonte Carregador X200 Vermelho,SKU,,12.0,0,0,0,0,0.0,0.0,12.0
WMS-0194,Carregador Veicular V7 Verde,SKU,,11.0,0,0,0,0,190.0,2090.0,11.0
WMS-0195,Mini Projetor Ultra Preto,SKU,"MLB5241397494,MLB7615175036",1173.0,13,0,0,0,200.0,237200.0,1186.0
WMS-0196,Suporte Veicular Ultra Verde,SKU,,2.0,0,0,0,0,32.0,64.0,2.0
WMS-0197,Pendrive X100 Rosa,SKU,,1.0,0,0,0,0,33.0,33.0,1.0
WMS-0198,Adaptador USB V5 Verde,SKU,,1.0,0,0,0,0,60.0,60.0,1.0
WMS-0199,Webcam HD Air Vermelho,SKU,,2.0,0,0,0,0,43.0,86.0,2.0
WMS-0200,Pendrive S1 Cinza,SKU,,46.0,0,0,0,0,0.0,0.0,46.0
WMS-0201,Fonte Carregador Z2 Preto,SKU,,8.0,0,0,0,0,23.5,188.0,8.0
WMS-0202,Smartwatch T10 Verde,SKU,,70.0,0,0,0,0,22.0,1540.0,70.0
WMS-0203,Luminária LED USB Max,SKU,,19.0,0,0,0,0,0.0,0.0,19.0
WMS-0204,Power Bank Mini Preto,SKU,,61.0,0,0,0,0,20.0,1220.0,61.0
WMS-0205,Smartwatch Ultra Preto,SKU,,150.0,0,0,0,0,0.0,0.0,150.0
WMS-0206,Cabo USB-C V7 Azul,SKU,,49.0,0,0,0,0,165.0,8085.0,49.0
WMS-0207,Suporte Veicular Z1 Azul,SKU,,1.0,0,0,0,0,286.0,286.0,1.0
WMS-0208,Carregador Turbo S2 Verde,SKU,,4.0,0,0,0,0,330.0,1320.0,4.0
WMS-0209,Mouse Sem Fio Plus,SKU,,2.0,0,0,0,0,54.0,108.0,2.0
WMS-0210,Mouse Sem Fio T10 Verde,SKU,,1.0,0,0,0,0,54.0,54.0,1.0
WMS-0211,Capa Protetora V7 Cinza,SKU,,9.0,0,0,0,0,0.0,0.0,9.0
WMS-0212,Carregador Veicular X300,SKU,"MLB4429590757,MLB4721365350",0.0,10,0,0,0,0.0,-0.0,-60.0
WMS-0213,Fone de Ouvido Bluetooth Air Preto,SKU,,150.0,0,0,0,0,1700.0,255000.0,150.0
WMS-0214,Teclado Sem Fio S1 Branco,SKU,,150.0,0,0,0,0,72.0,10800.0,150.0
WMS-0215,Mini Projetor X200 Preto,SKU,,300.0,0,0,0,0,46.0,13800.0,300.0
WMS-0216,Película de Vidro Plus Preto,SKU,,450.0,0,0,0,0,648.0,291600.0,450.0
WMS-0217,Power Bank Z2 Branco,SKU,,450.0,0,0,0,0,23.0,10350.0,450.0
WMS-0218,Microfone Lapela Plus,SKU,,316.0,0,0,0,0,2050.0,647800.0,316.0
WMS-0219,Ventilador USB S2 Rosa,SKU,,150.0,0,0,0,0,50.0,7500.0,150.0
WMS-0220,Caixa de Som Bluetooth Mini Branco,SKU,,450.0,0,0,0,0,6.0,2700.0,450.0
WMS-0221,Mini Projetor Max Cinza,SKU,,300.0,0,0,0,0,115.0,34500.0,300.0
WMS-0222,Cabo Lightning Ultra Preto,SKU,,600.0,0,0,0,0,48.0,28800.0,600.0
WMS-0223,Adaptador USB Ultra Verde,SKU,,900.0,0,0,0,0,25.0,22500.0,900.0
WMS-0224,Smartwatch Plus Branco,SKU,,300.0,0,0,0,0,54.0,16200.0,300.0
WMS-0225,Microfone Lapela S1 Branco,SKU,,600.0,0,0,0,0,0.0,0.0,600.0
WMS-0226,Ventilador USB S3 Branco,SKU,,1200.0,0,0,0,0,190.0,228000.0,1200.0
WMS-0227,Fone com Fio Ultra Preto,SKU,,120.0,0,0,0,0,27.0,3240.0,120.0
WMS-0228,Teclado Sem Fio Air Verde,SKU,,60.0,0,0,0,0,60.0,3600.0,60.0
WMS-0229,Hub USB T20 Branco,SKU,,180.0,0,0,0,0,1050.0,189000.0,180.0
WMS-0230,Cartão de Memória T10 Preto,SKU,,240.0,0,0,0,0,357.0,85680.0,240.0
WMS-0231,Suporte Veicular V7,SKU,,450.0,0,0,0,0,54.0,24300.0,450.0
WMS-0232,Cabo Lightning V7 Rosa,SKU,,300.0,0,0,0,0,83.0,24900.0,300.0
WMS-0233,Fonte Carregador Max Cinza,SKU,,750.0,0,0,0,0,1400.0,1050000.0,750.0
WMS-0234,Controle Bluetooth Air,SKU,,300.0,0,0,0,0,27.0,8100.0,300.0
WMS-0235,HD Externo V7 Cinza,SKU,,150.0,0,0,0,0,65.0,9750.0,150.0
WMS-0236,Mouse Sem Fio S1 Branco,SKU,,450.0,0,0,0,0,38.0,17100.0,450.0
WMS-0237,Mouse Sem Fio X100,SKU,,600.0,0,0,0,0,40.0,24000.0,600.0
WMS-0238,Suporte Veicular T10 Azul,SKU,MLB1566090561,0.0,84,0,0,0,0.0,0.0,84.0
WMS-0239,Pendrive Plus Rosa,SKU,MLB4386287675,0.0,84,1,0,0,90.0,7560.0,84.0
WMS-0240,Fone com Fio S2 Rosa,SKU,,8.0,0,0,0,0,4.8,38.4,8.0
WMS-0241,Capa Protetora Mini Cinza,SKU,,108.0,0,0,0,0,0.0,0.0,108.0
WMS-0242,Webcam HD X100 Vermelho,SKU,"MLB7824071339,MLB1067779246,MLB2139744790",49.0,84,8,0,0,0.0,0.0,133.0
WMS-0243,Cabo USB-C S1 Verde,SKU,MLB5567946981,0.0,0,0,7,0,54.0,378.0,7.0
WMS-0244,Pendrive Air Vermelho,SKU,MLB3549776132,0.0,0,0,15,0,0.0,0.0,15.0
WMS-0245,Ventilador USB Z2,SKU,MLB3641863774,0.0,0,0,22,7,0.0,0.0,22.0
